Epoch	Training_time	Train_Loss	Train_Acc	Val_ACC	Tst_ACC
18	0.0006628036499023438	0.879194438457489	0.8083333333333333	0.426	0.445
19	0.0007402896881103516	0.9505335688591003	0.725	0.544	0.499
20	0.0007474422454833984	1.0606797933578491	0.75	0.558	0.55
21	0.0006988048553466797	1.0229493379592896	0.7583333333333333	0.536	0.543
22	0.0006670951843261719	0.8604376316070557	0.7916666666666666	0.61	0.59
23	0.0007002353668212891	0.6992102861404419	0.8916666666666667	0.662	0.65
24	0.0007760524749755859	0.613112211227417	0.9333333333333333	0.668	0.654
25	0.0007894039154052734	0.6611378788948059	0.85	0.37	0.406
26	0.0006690025329589844	0.6352307796478271	0.8833333333333333	0.374	0.411
27	0.00066375732421875	0.5676724910736084	0.95	0.604	0.614
28	0.0006563663482666016	0.5547974109649658	0.9333333333333333	0.658	0.691
29	0.0006577968597412109	0.5505011677742004	0.9166666666666666	0.704	0.696
30	0.0006897449493408203	0.5279619693756104	0.9083333333333333	0.712	0.7
31	0.0006985664367675781	0.5076525211334229	0.925	0.72	0.713
32	0.0007011890411376953	0.4962368905544281	0.95	0.686	0.694
33	0.0008380413055419922	0.5014722943305969	0.9666666666666667	0.662	0.654
34	0.0007851123809814453	0.47330430150032043	0.9583333333333334	0.69	0.68
35	0.0008854866027832031	0.46757617592811584	0.925	0.722	0.716
36	0.0009160041809082031	0.46702539920806885	0.9333333333333333	0.724	0.715
37	0.0009672641754150391	0.45717689394950867	0.9333333333333333	0.712	0.713
38	0.0008466243743896484	0.4471918046474457	0.9583333333333334	0.708	0.714
39	0.0008003711700439453	0.4445720613002777	0.9666666666666667	0.688	0.691
40	0.0008656978607177734	0.4291805028915405	0.95	0.698	0.697
41	0.0008716583251953125	0.42100661993026733	0.9416666666666667	0.718	0.716
42	0.0008707046508789062	0.4144887328147888	0.95	0.734	0.736
43	0.0009198188781738281	0.40161699056625366	0.9583333333333334	0.72	0.717
44	0.0008876323699951172	0.39358609914779663	0.9583333333333334	0.694	0.688
45	0.0008029937744140625	0.38086941838264465	0.9666666666666667	0.712	0.71
46	0.0008666515350341797	0.37068161368370056	0.95	0.732	0.724
47	0.0007829666137695312	0.3575875461101532	0.9583333333333334	0.706	0.713
48	0.0007784366607666016	0.3434423506259918	0.9666666666666667	0.712	0.709
49	0.0007865428924560547	0.3299563229084015	0.9666666666666667	0.706	0.72
50	0.0007886886596679688	0.3180835545063019	0.9583333333333334	0.714	0.709
51	0.0007846355438232422	0.3060659170150757	0.9583333333333334	0.706	0.708
52	0.0009112358093261719	0.3061199486255646	0.975	0.696	0.704
53	0.0007874965667724609	0.29399341344833374	0.95	0.714	0.715
54	0.0007865428924560547	0.28162142634391785	0.9583333333333334	0.684	0.684
55	0.0008695125579833984	0.2758353650569916	0.9666666666666667	0.694	0.726
56	0.0008747577667236328	0.25610724091529846	0.9666666666666667	0.678	0.683
57	0.0008699893951416016	0.27768194675445557	0.975	0.72	0.707
58	0.000789642333984375	0.2686769366264343	0.9833333333333333	0.636	0.661
59	0.0007915496826171875	0.25443512201309204	0.9583333333333334	0.716	0.74
60	0.0007956027984619141	0.22783702611923218	0.9666666666666667	0.716	0.726
61	0.0008707046508789062	0.25512078404426575	0.975	0.642	0.649
62	0.0008132457733154297	0.24865981936454773	0.95	0.702	0.731
63	0.00089263916015625	0.22920957207679749	0.9833333333333333	0.698	0.714
64	0.0008800029754638672	0.22674931585788727	0.975	0.646	0.654
65	0.0008242130279541016	0.22217106819152832	0.9666666666666667	0.696	0.713
66	0.0035049915313720703	0.20370976626873016	0.975	0.72	0.724
67	0.0009622573852539062	0.21249768137931824	0.9833333333333333	0.662	0.69
68	0.0007941722869873047	0.19780078530311584	0.975	0.696	0.713
69	0.002664804458618164	0.19276413321495056	0.975	0.704	0.721
70	0.0008077621459960938	0.1968342661857605	0.975	0.682	0.689
71	0.0008826255798339844	0.1792319267988205	0.9916666666666667	0.698	0.705
72	0.0008237361907958984	0.19472165405750275	0.9666666666666667	0.706	0.721
1	0.0034224987030029297	1.8952215909957886	0.16666666666666666	0.232	0.181
2	0.0009927749633789062	6.148110866546631	0.175	0.214	0.231
3	0.0012884140014648438	8.938098907470703	0.175	0.14	0.16
4	0.0009429454803466797	12.036355972290039	0.25833333333333336	0.202	0.209
5	0.002832651138305664	12.067412376403809	0.16666666666666666	0.188	0.169
6	0.0019974708557128906	8.789321899414062	0.16666666666666666	0.058	0.077
7	0.0008258819580078125	9.089570999145508	0.16666666666666666	0.232	0.181
8	0.0010063648223876953	6.627638339996338	0.16666666666666666	0.232	0.181
9	0.0009760856628417969	2.2147724628448486	0.375	0.266	0.221
10	0.0010063648223876953	2.024181365966797	0.4083333333333333	0.242	0.253
11	0.0009071826934814453	1.8435322046279907	0.5333333333333333	0.346	0.386
12	0.0009441375732421875	1.9443504810333252	0.6666666666666666	0.392	0.391
13	0.0013878345489501953	2.230087995529175	0.5833333333333334	0.32	0.318
14	0.0008573532104492188	2.1632871627807617	0.6166666666666667	0.3	0.303
15	0.0009386539459228516	2.023908853530884	0.6083333333333333	0.246	0.249
16	0.0006754398345947266	1.5398377180099487	0.7333333333333333	0.352	0.335
17	0.0006635189056396484	1.0614017248153687	0.775	0.554	0.567
18	0.0007021427154541016	0.8204538822174072	0.6916666666666667	0.404	0.411
19	0.0007975101470947266	1.066137433052063	0.425	0.25	0.206
20	0.0007793903350830078	0.7885016798973083	0.6666666666666666	0.324	0.268
21	0.000782012939453125	0.5389581918716431	0.9166666666666666	0.602	0.582
22	0.0009150505065917969	0.6191835999488831	0.8333333333333334	0.502	0.505
23	0.0008780956268310547	0.6271892189979553	0.825	0.52	0.532
24	0.0007967948913574219	0.5852381587028503	0.8	0.568	0.591
25	0.000858306884765625	0.5186542272567749	0.8166666666666667	0.576	0.595
26	0.0008537769317626953	0.44492071866989136	0.9416666666666667	0.688	0.714
27	0.0009202957153320312	0.4559549391269684	0.9416666666666667	0.66	0.627
28	0.0007944107055664062	0.4702416956424713	0.925	0.596	0.561
29	0.0007810592651367188	0.4350995421409607	0.9333333333333333	0.674	0.641
30	0.0007872581481933594	0.43999460339546204	0.9166666666666666	0.678	0.699
31	0.00080108642578125	0.44672954082489014	0.925	0.678	0.717
32	0.0008742809295654297	0.4315459430217743	0.95	0.718	0.733
33	0.0008299350738525391	0.4301760792732239	0.9583333333333334	0.708	0.712
34	0.0008020401000976562	0.43397730588912964	0.95	0.678	0.672
35	0.0008726119995117188	0.4260293245315552	0.9583333333333334	0.71	0.712
36	0.0008702278137207031	0.4245617687702179	0.95	0.712	0.726
37	0.0008587837219238281	0.4177016615867615	0.9416666666666667	0.71	0.703
38	0.0007979869842529297	0.41556796431541443	0.95	0.706	0.689
39	0.0007853507995605469	0.4051394760608673	0.9666666666666667	0.708	0.701
40	0.0008611679077148438	0.40313711762428284	0.95	0.718	0.728
41	0.0008394718170166016	0.391873836517334	0.9666666666666667	0.718	0.717
42	0.0009183883666992188	0.389535129070282	0.9583333333333334	0.694	0.69
43	0.000823974609375	0.375031054019928	0.975	0.724	0.716
44	0.000835418701171875	0.3707706034183502	0.9583333333333334	0.7	0.711
